Origin State;Type;Dest State;Year;Nombres de medidas;Valores de medidas
Alabama;Domestic;Wyoming;2021;Chained 2012 Value (millions of dollars);35,634876
Alabama;Domestic;Wisconsin;2021;Chained 2012 Value (millions of dollars);1403,586126
Alabama;Domestic;West Virginia;2021;Chained 2012 Value (millions of dollars);333,798371
Alabama;Domestic;Washington;2021;Chained 2012 Value (millions of dollars);840,616593
Alabama;Domestic;Virginia;2021;Chained 2012 Value (millions of dollars);1920,464282
Alabama;Domestic;Vermont;2021;Chained 2012 Value (millions of dollars);93,242626
Alabama;Domestic;Utah;2021;Chained 2012 Value (millions of dollars);555,774429
Alabama;Domestic;Texas;2021;Chained 2012 Value (millions of dollars);9130,661455
Alabama;Domestic;Tennessee;2021;Chained 2012 Value (millions of dollars);12570,453136
Alabama;Domestic;South Dakota;2021;Chained 2012 Value (millions of dollars);98,015521
Alabama;Domestic;South Carolina;2021;Chained 2012 Value (millions of dollars);2915,634737
Alabama;Domestic;Rhode Island;2021;Chained 2012 Value (millions of dollars);37,683067
Alabama;Domestic;Pennsylvania;2021;Chained 2012 Value (millions of dollars);2725,213261
Alabama;Domestic;Oregon;2021;Chained 2012 Value (millions of dollars);435,155316
Alabama;Domestic;Oklahoma;2021;Chained 2012 Value (millions of dollars);1275,730388
Alabama;Domestic;Ohio;2021;Chained 2012 Value (millions of dollars);4089,037434
Alabama;Domestic;North Dakota;2021;Chained 2012 Value (millions of dollars);62,900335
Alabama;Domestic;North Carolina;2021;Chained 2012 Value (millions of dollars);3612,987217
Alabama;Domestic;New York;2021;Chained 2012 Value (millions of dollars);1548,072972
Alabama;Domestic;New Mexico;2021;Chained 2012 Value (millions of dollars);148,257428
Alabama;Domestic;New Jersey;2021;Chained 2012 Value (millions of dollars);1716,166704
Alabama;Domestic;New Hampshire;2021;Chained 2012 Value (millions of dollars);188,784073
Alabama;Domestic;Nevada;2021;Chained 2012 Value (millions of dollars);299,090379
Alabama;Domestic;Nebraska;2021;Chained 2012 Value (millions of dollars);638,722347
Alabama;Domestic;Montana;2021;Chained 2012 Value (millions of dollars);76,750721
Alabama;Domestic;Missouri;2021;Chained 2012 Value (millions of dollars);1729,918346
Alabama;Domestic;Mississippi;2021;Chained 2012 Value (millions of dollars);11125,239547
Alabama;Domestic;Minnesota;2021;Chained 2012 Value (millions of dollars);881,355256
Alabama;Domestic;Michigan;2021;Chained 2012 Value (millions of dollars);2483,411982
Alabama;Domestic;Massachusetts;2021;Chained 2012 Value (millions of dollars);1170,344133
Alabama;Domestic;Maryland;2021;Chained 2012 Value (millions of dollars);1262,039887
Alabama;Domestic;Maine;2021;Chained 2012 Value (millions of dollars);119,849818
Alabama;Domestic;Louisiana;2021;Chained 2012 Value (millions of dollars);3019,527777
Alabama;Domestic;Kentucky;2021;Chained 2012 Value (millions of dollars);2415,844799
Alabama;Domestic;Kansas;2021;Chained 2012 Value (millions of dollars);676,764392
Alabama;Domestic;Iowa;2021;Chained 2012 Value (millions of dollars);653,61612
Alabama;Domestic;Indiana;2021;Chained 2012 Value (millions of dollars);2494,110296
Alabama;Domestic;Illinois;2021;Chained 2012 Value (millions of dollars);2987,870891
Alabama;Domestic;Idaho;2021;Chained 2012 Value (millions of dollars);109,002376
Alabama;Domestic;Hawaii;2021;Chained 2012 Value (millions of dollars);48,066272
Alabama;Domestic;Georgia;2021;Chained 2012 Value (millions of dollars);23583,012937
Alabama;Domestic;Florida;2021;Chained 2012 Value (millions of dollars);19735,982063
Alabama;Domestic;District of Columbia;2021;Chained 2012 Value (millions of dollars);68,281983
Alabama;Domestic;Delaware;2021;Chained 2012 Value (millions of dollars);310,290411
Alabama;Domestic;Connecticut;2021;Chained 2012 Value (millions of dollars);225,851621
Alabama;Domestic;Colorado;2021;Chained 2012 Value (millions of dollars);921,484652
Alabama;Domestic;California;2021;Chained 2012 Value (millions of dollars);6589,391225
Alabama;Domestic;Arkansas;2021;Chained 2012 Value (millions of dollars);1531,348971
Alabama;Domestic;Arizona;2021;Chained 2012 Value (millions of dollars);1372,505022
Alabama;Domestic;Alaska;2021;Chained 2012 Value (millions of dollars);13,2041
Alabama;Domestic;Alabama;2021;Chained 2012 Value (millions of dollars);104663,647652
Alabama;Domestic;Wyoming;2020;Chained 2012 Value (millions of dollars);35,613448
Alabama;Domestic;Wisconsin;2020;Chained 2012 Value (millions of dollars);1445,397629
Alabama;Domestic;West Virginia;2020;Chained 2012 Value (millions of dollars);323,380252
Alabama;Domestic;Washington;2020;Chained 2012 Value (millions of dollars);846,442191
Alabama;Domestic;Virginia;2020;Chained 2012 Value (millions of dollars);1927,045916
Alabama;Domestic;Vermont;2020;Chained 2012 Value (millions of dollars);102,251709
Alabama;Domestic;Utah;2020;Chained 2012 Value (millions of dollars);599,480091
Alabama;Domestic;Texas;2020;Chained 2012 Value (millions of dollars);9254,761871
Alabama;Domestic;Tennessee;2020;Chained 2012 Value (millions of dollars);12577,991592
Alabama;Domestic;South Dakota;2020;Chained 2012 Value (millions of dollars);112,351167
Alabama;Domestic;South Carolina;2020;Chained 2012 Value (millions of dollars);2955,333283
Alabama;Domestic;Rhode Island;2020;Chained 2012 Value (millions of dollars);38,802893
Alabama;Domestic;Pennsylvania;2020;Chained 2012 Value (millions of dollars);2829,141227
Alabama;Domestic;Oregon;2020;Chained 2012 Value (millions of dollars);435,048432
Alabama;Domestic;Oklahoma;2020;Chained 2012 Value (millions of dollars);1513,05612
Alabama;Domestic;Ohio;2020;Chained 2012 Value (millions of dollars);4196,590956
Alabama;Domestic;North Dakota;2020;Chained 2012 Value (millions of dollars);64,268213
Alabama;Domestic;North Carolina;2020;Chained 2012 Value (millions of dollars);3666,18311
Alabama;Domestic;New York;2020;Chained 2012 Value (millions of dollars);1524,735336
Alabama;Domestic;New Mexico;2020;Chained 2012 Value (millions of dollars);145,340051
Alabama;Domestic;New Jersey;2020;Chained 2012 Value (millions of dollars);1716,15961
Alabama;Domestic;New Hampshire;2020;Chained 2012 Value (millions of dollars);195,675982
Alabama;Domestic;Nevada;2020;Chained 2012 Value (millions of dollars);299,890923
Alabama;Domestic;Nebraska;2020;Chained 2012 Value (millions of dollars);630,174056
Alabama;Domestic;Montana;2020;Chained 2012 Value (millions of dollars);92,136516
Alabama;Domestic;Missouri;2020;Chained 2012 Value (millions of dollars);1764,770494
Alabama;Domestic;Mississippi;2020;Chained 2012 Value (millions of dollars);10945,928847
Alabama;Domestic;Minnesota;2020;Chained 2012 Value (millions of dollars);897,776497
Alabama;Domestic;Michigan;2020;Chained 2012 Value (millions of dollars);2554,153955
Alabama;Domestic;Massachusetts;2020;Chained 2012 Value (millions of dollars);1167,701773
Alabama;Domestic;Maryland;2020;Chained 2012 Value (millions of dollars);1242,238979
Alabama;Domestic;Maine;2020;Chained 2012 Value (millions of dollars);125,471071
Alabama;Domestic;Louisiana;2020;Chained 2012 Value (millions of dollars);3030,681176
Alabama;Domestic;Kentucky;2020;Chained 2012 Value (millions of dollars);2491,117077
Alabama;Domestic;Kansas;2020;Chained 2012 Value (millions of dollars);671,893792
Alabama;Domestic;Iowa;2020;Chained 2012 Value (millions of dollars);673,924209
Alabama;Domestic;Indiana;2020;Chained 2012 Value (millions of dollars);2498,388363
Alabama;Domestic;Illinois;2020;Chained 2012 Value (millions of dollars);3155,19727
Alabama;Domestic;Idaho;2020;Chained 2012 Value (millions of dollars);120,620358
Alabama;Domestic;Hawaii;2020;Chained 2012 Value (millions of dollars);53,582855
Alabama;Domestic;Georgia;2020;Chained 2012 Value (millions of dollars);23599,499706
Alabama;Domestic;Florida;2020;Chained 2012 Value (millions of dollars);19492,837724
Alabama;Domestic;District of Columbia;2020;Chained 2012 Value (millions of dollars);66,596397
Alabama;Domestic;Delaware;2020;Chained 2012 Value (millions of dollars);333,607338
Alabama;Domestic;Connecticut;2020;Chained 2012 Value (millions of dollars);237,486345
Alabama;Domestic;Colorado;2020;Chained 2012 Value (millions of dollars);911,792814
Alabama;Domestic;California;2020;Chained 2012 Value (millions of dollars);6556,715906
Alabama;Domestic;Arkansas;2020;Chained 2012 Value (millions of dollars);1530,402984
Alabama;Domestic;Arizona;2020;Chained 2012 Value (millions of dollars);1358,302379
Alabama;Domestic;Alaska;2020;Chained 2012 Value (millions of dollars);13,03366
Alabama;Domestic;Alabama;2020;Chained 2012 Value (millions of dollars);104072,805562
Alabama;Domestic;Wyoming;2019;Chained 2012 Value (millions of dollars);36,370063
Alabama;Domestic;Wisconsin;2019;Chained 2012 Value (millions of dollars);1525,426168
Alabama;Domestic;West Virginia;2019;Chained 2012 Value (millions of dollars);353,362796
Alabama;Domestic;Washington;2019;Chained 2012 Value (millions of dollars);938,01275
Alabama;Domestic;Virginia;2019;Chained 2012 Value (millions of dollars);2091,571386
